URL_ID,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,5,1,0.6666665556,0.02620087325,38.16666667,0.2358078603,15.36098981,38.16666667,54,229,1.834061135,3,6.104803493
Netclan20241018,17,8,0.3599999856,0.0297973778,23.30555556,0.1620977354,9.387061316,23.30555556,136,839,1.538736591,7,4.960667461
Netclan20241019,12,4,0.4999999688,0.03883495136,34.33333333,0.1626213592,13.79838188,34.33333333,67,412,1.623786408,1,5.415048544
Netclan20241020,25,12,0.3513513419,0.06548672555,20.92592593,0.3557522124,8.512671255,20.92592593,201,565,2.100884956,4,6.654867257
Netclan20241021,13,2,0.7333332844,0.02307692304,15.11627907,0.2292307692,6.138203936,15.11627907,149,650,1.830769231,1,5.738461538
Netclan20241022,5,1,0.6666665556,0.02620087325,38.16666667,0.2358078603,15.36098981,38.16666667,54,229,1.834061135,3,6.104803493
Netclan20241023,17,8,0.3599999856,0.0297973778,23.30555556,0.1620977354,9.387061316,23.30555556,136,839,1.538736591,7,4.960667461
Netclan20241024,12,4,0.4999999688,0.03883495136,34.33333333,0.1626213592,13.79838188,34.33333333,67,412,1.623786408,1,5.415048544
Netclan20241025,25,12,0.3513513419,0.06548672555,20.92592593,0.3557522124,8.512671255,20.92592593,201,565,2.100884956,4,6.654867257
Netclan20241026,66,22,0.4999999943,0.05298013242,16.61,0.3251053582,6.774042143,16.61,540,1661,1.99397953,1,6.2474413
Netclan20241027,19,7,0.4615384438,0.05349794228,22.09090909,0.3209876543,8.964758698,22.09090909,156,486,2.057613169,1,6.380658436
Netclan20241028,27,3,0.7999999733,0.0483870967,23.84615385,0.364516129,9.68426799,23.84615385,226,620,2.156451613,6,6.8
Netclan20241029,21,6,0.555555535,0.06585365838,22.77777778,0.312195122,9.23598916,22.77777778,128,410,2.075609756,4,6.824390244
Netclan20241030,13,7,0.299999985,0.04640371219,25.35294118,0.3317865429,10.27389109,25.35294118,143,431,2.05800464,5,6.552204176
Netclan20241031,62,17,0.569620246,0.06694915249,17.87878788,0.3110169492,7.275921931,17.87878788,367,1180,2.027966102,10,6.394067797
Netclan20241032,30,12,0.4285714184,0.04570184979,14.359375,0.247007617,5.842553047,14.359375,227,919,1.873775843,4,5.943416757
Netclan20241033,76,13,0.7078651606,0.06249999996,22.25,0.3328651685,9.033146067,22.25,474,1424,2.101123596,24,6.469803371
Netclan20241034,6,4,0.19999998,0.0370370369,19.28571429,0.2555555556,7.816507937,19.28571429,69,270,1.911111111,3,6.218518519
Netclan20241035,30,10,0.4999999875,0.04581901484,19.4,0.2898052692,7.875922108,19.4,253,873,2.020618557,3,6.154639175
Netclan20241036,37,11,0.5416666554,0.08376963336,14.69230769,0.277486911,5.987917841,14.69230769,159,573,2.012216405,2,6.226876091
Netclan20241037,10,2,0.6666666111,0.04081632639,13.36363636,0.2176870748,5.432529375,13.36363636,64,294,1.741496599,2,5.544217687
Netclan20241038,12,2,0.7142856633,0.04605263143,13.81818182,0.3355263158,5.661483254,13.81818182,102,304,2.036184211,2,6.325657895
Netclan20241039,11,2,0.6923076391,0.04452054779,13.9047619,0.25,5.661904762,13.9047619,73,292,1.797945205,2,6.01369863
Netclan20241040,16,1,0.8823528893,0.05882352921,13.13636364,0.2906574394,5.37080843,13.13636364,84,289,1.937716263,2,6.366782007
Netclan20241041,21,2,0.8260869206,0.07744107718,13.5,0.2525252525,5.501010101,13.5,75,297,1.936026936,2,6.343434343
Netclan20241042,12,9,0.1428571361,0.06422018329,14.86363636,0.2782874618,6.05676953,14.86363636,91,327,1.902140673,2,5.899082569
Netclan20241043,16,4,0.59999997,0.02789400275,19.37837838,0.2078103208,7.83447548,19.37837838,149,717,1.694560669,2,5.730822873
Netclan20241044,22,2,0.8333332986,0.03041825091,19.725,0.2192648923,7.977705957,19.725,173,789,1.774397972,1,5.893536122
Netclan20241045,23,7,0.5333333156,0.03708281825,21.28947368,0.21631644,8.60231605,21.28947368,175,809,1.710754017,7,5.682323857
Netclan20241046,27,5,0.6874999785,0.03846153842,21.33333333,0.1971153846,8.612179487,21.33333333,164,832,1.699519231,1,5.682692308
Netclan20241047,22,5,0.6296296063,0.04448105429,15.97368421,0.2668863262,6.496228215,15.97368421,162,607,1.97693575,2,6.110378913
Netclan20241048,59,16,0.5733333257,0.08741258731,26.8125,0.2668997669,10.83175991,26.8125,229,858,2.006993007,5,6.411421911
Netclan20241049,42,5,0.7872340258,0.03843008991,23.0754717,0.2191332788,9.317841991,23.0754717,268,1223,1.820114473,1,5.908421913
Netclan20241050,21,6,0.555555535,0.05410821632,19.96,0.2364729459,8.078589178,19.96,118,499,1.893787575,1,6.110220441
Netclan20241051,49,30,0.2405063261,0.04962311555,14.34234234,0.2405778894,5.833168093,14.34234234,383,1592,1.844221106,1,6.029522613
Netclan20241052,26,27,-0.01886792417,0.05419222898,13.97142857,0.2433537832,5.685912942,13.97142857,238,978,1.831288344,2,5.741308793
Netclan20241053,25,9,0.4705882215,0.03523316059,16.3559322,0.2829015544,6.655533503,16.3559322,273,965,1.847668394,6,5.866321244
Netclan20241054,51,6,0.7894736704,0.05342080595,20.13207547,0.2727272727,8.161921098,20.13207547,291,1067,1.924086223,1,6.14339269
Netclan20241055,81,13,0.7234042476,0.07519999994,10.77586207,0.1624,4.375304828,10.77586207,203,1250,1.6104,30,5.432
Netclan20241056,5,0,0.9999998,0.0118483412,16.23076923,0.1848341232,6.566241342,16.23076923,78,422,1.599526066,0,5.45971564
Netclan20241057,17,3,0.699999965,0.032051282,34.66666667,0.2131410256,13.95192308,34.66666667,133,624,1.703525641,3,5.5625
Netclan20241058,15,2,0.7647058374,0.04913294783,19.22222222,0.1589595376,7.752472704,19.22222222,55,346,1.534682081,8,5.164739884
Netclan20241059,8,1,0.7777776914,0.02521008396,19.83333333,0.1652661064,7.999439776,19.83333333,59,357,1.596638655,13,5.462184874
Netclan20241060,12,3,0.59999996,0.03937007864,15.24,0.125984252,6.146393701,15.24,48,381,1.430446194,16,4.913385827
Netclan20241061,18,6,0.4999999792,0.05369127505,15.96428571,0.1834451902,6.459092362,15.96428571,82,447,1.516778523,6,5.03803132
Netclan20241062,38,10,0.5833333212,0.03312629397,16.65517241,0.1808143547,6.734394707,16.65517241,262,1449,1.62594893,4,5.358868185
Netclan20241063,11,6,0.2941176298,0.04136253031,24.17647059,0.2092457421,9.754286532,24.17647059,86,411,1.712895377,1,5.866180049
Netclan20241064,16,6,0.4545454339,0.03760683754,58.5,0.1982905983,23.47931624,58.5,116,585,1.760683761,1,5.955555556
Netclan20241065,13,12,0.0399999984,0.07418397604,42.125,0.1899109792,16.92596439,42.125,64,337,1.640949555,2,5.492581602
Netclan20241066,9,2,0.6363635785,0.03678929754,49.83333333,0.2274247492,20.02430323,49.83333333,68,299,1.725752508,1,5.688963211
Netclan20241067,9,4,0.384615355,0.02060221867,20.35483871,0.1711568938,8.210398241,20.35483871,108,631,1.633914422,29,5.499207607
Netclan20241068,14,4,0.5555555247,0.03501945518,22.34782609,0.1614785992,9.003721874,22.34782609,83,514,1.573929961,18,5.093385214
Netclan20241069,9,10,-0.05263157618,0.03747534509,16.35483871,0.1459566075,6.600318127,16.35483871,74,507,1.522682446,26,5.041420118
Netclan20241070,4,1,0.59999988,0.01259445841,14.17857143,0.2090680101,5.755055775,14.17857143,83,397,1.591939547,8,5.508816121
Netclan20241071,9,3,0.4999999583,0.03116883109,27.5,0.2025974026,11.08103896,27.5,78,385,1.584415584,3,5.532467532
Netclan20241072,11,7,0.2222222099,0.08333333295,30.85714286,0.212962963,12.42804233,30.85714286,46,216,1.763888889,3,5.861111111
Netclan20241073,15,5,0.499999975,0.0432900432,22,0.132034632,8.852813853,22,61,462,1.471861472,12,5.127705628
Netclan20241074,11,3,0.5714285306,0.03743315498,17,0.1657754011,6.86631016,17,62,374,1.564171123,9,5.339572193
Netclan20241075,6,4,0.19999998,0.04761904739,21,0.1904761905,8.476190476,21,40,210,1.761904762,1,5.833333333
Netclan20241076,5,1,0.6666665556,0.0508474572,23.6,0.2203389831,9.528135593,23.6,26,118,1.779661017,2,5.881355932
Netclan20241077,5,8,-0.230769213,0.07344632727,19.66666667,0.2146892655,7.952542373,19.66666667,38,177,1.785310734,1,5.88700565
Netclan20241078,7,4,0.2727272479,0.05527638163,24.875,0.2010050251,10.03040201,24.875,40,199,1.748743719,3,5.768844221
Netclan20241079,5,1,0.6666665556,0.04580152637,26.2,0.2519083969,10.58076336,26.2,33,131,1.93129771,2,6.41221374
Netclan20241080,5,8,-0.230769213,0.06103286356,17.75,0.2300469484,7.192018779,17.75,49,213,1.830985915,4,6.009389671
Netclan20241081,10,0,0.9999999,0.02793296082,18.84210526,0.156424581,7.599411938,18.84210526,56,358,1.544692737,11,5.240223464
Netclan20241082,16,3,0.6842104903,0.04460093886,20.28571429,0.1854460094,8.188464118,20.28571429,79,426,1.654929577,15,5.530516432
Netclan20241083,7,4,0.2727272479,0.02612826597,21.05,0.1781472684,8.491258907,21.05,75,421,1.624703088,12,5.313539192
Netclan20241084,21,12,0.2727272645,0.06918238979,19.875,0.142557652,8.007023061,19.875,68,477,1.532494759,12,5.008385744
Netclan20241085,7,1,0.7499999063,0.02168021674,19.42105263,0.1924119241,7.845385822,19.42105263,71,369,1.598915989,14,5.558265583
Netclan20241086,9,0,0.9999998889,0.02950819662,25.41666667,0.193442623,10.24404372,25.41666667,59,305,1.619672131,6,5.747540984
Netclan20241087,25,6,0.612903206,0.03850931672,21.75675676,0.250931677,8.803075374,21.75675676,202,805,1.81863354,6,5.914285714
Netclan20241088,9,8,0.05882352595,0.04057279227,27.93333333,0.1551312649,11.23538584,27.93333333,65,419,1.584725537,6,5.169451074
Netclan20241089,9,1,0.79999992,0.02832861182,20.76470588,0.2266288952,8.396533911,20.76470588,80,353,1.76203966,1,5.657223796
Netclan20241090,2,3,-0.19999996,0.02463054175,22.55555556,0.1527093596,9.083305966,22.55555556,31,203,1.502463054,1,4.896551724
Netclan20241091,10,3,0.538461497,0.03274559186,28.35714286,0.1712846348,11.411371,28.35714286,68,397,1.58186398,5,5.236775819
Netclan20241092,5,3,0.2499999688,0.02461538454,20.3125,0.1815384615,8.197615385,20.3125,59,325,1.676923077,5,5.646153846
Netclan20241093,3,2,0.19999996,0.01592356683,24.15384615,0.1496815287,9.721411073,24.15384615,47,314,1.582802548,11,5.547770701
Netclan20241094,9,15,-0.2499999896,0.08823529379,20.92307692,0.2536764706,8.470701357,20.92307692,69,272,1.904411765,10,5.908088235
Netclan20241095,2,2,0,0.011299435,20.82352941,0.1581920904,8.392688601,20.82352941,56,354,1.576271186,14,5.257062147
Netclan20241096,5,1,0.6666665556,0.01197604788,41.75,0.1796407186,16.77185629,41.75,90,501,1.584830339,0,5.349301397
Netclan20241097,4,3,0.1428571224,0.01631701628,25.23529412,0.1561771562,10.15658851,25.23529412,67,429,1.491841492,0,5.03030303
Netclan20241098,11,1,0.8333332639,0.05607476609,53.5,0.1728971963,21.46915888,53.5,37,214,1.64953271,1,5.556074766
Netclan20241099,8,5,0.230769213,0.04234527674,17.05555556,0.1628664495,6.887368802,17.05555556,50,307,1.589576547,1,5.400651466
Netclan20241100,13,2,0.7333332844,0.0503355703,22.92307692,0.1711409396,9.237687145,22.92307692,51,298,1.687919463,0,5.677852349
Netclan20241101,2,0,0.9999995,0.008064516097,31,0.1774193548,12.47096774,31,44,248,1.717741935,0,5.564516129
Netclan20241102,6,0,0.9999998333,0.02575107285,116.5,0.1287553648,46.65150215,116.5,30,233,1.416309013,4,5.012875536
Netclan20241103,4,3,0.1428571224,0.02208201886,18.64705882,0.1861198738,7.533271479,18.64705882,59,317,1.681388013,0,5.611987382
Netclan20241104,5,1,0.6666665556,0.01456310676,15.25925926,0.2014563107,6.184286228,15.25925926,83,412,1.682038835,4,5.669902913
Netclan20241105,2,0,0.9999995,0.004728132377,13.64516129,0.1560283688,5.520475864,13.64516129,66,423,1.555555556,3,5.243498818
Netclan20241106,9,1,0.79999992,0.03355704687,99.33333333,0.08724832215,39.76823266,99.33333333,26,298,1.409395973,4,4.865771812
Netclan20241107,4,5,-0.1111110988,0.027863777,107.6666667,0.1455108359,43.124871,107.6666667,47,323,1.473684211,4,5.250773994
Netclan20241108,28,2,0.8666666378,0.03058103972,22.81395349,0.2018348624,9.20631534,22.81395349,198,981,1.624872579,3,5.367991845
Netclan20241109,31,1,0.9374999707,0.03100775191,22.93333333,0.1850775194,9.247364341,22.93333333,191,1032,1.610465116,2,5.335271318
Netclan20241110,3,4,-0.1428571224,0.02991452979,16.71428571,0.2264957265,6.776312576,16.71428571,53,234,1.803418803,1,5.863247863
Netclan20241111,10,2,0.6666666111,0.03217158168,19.63157895,0.1420911528,7.90946804,19.63157895,53,373,1.509383378,3,4.973190349
Netclan20241112,8,3,0.4545454132,0.04761904741,21,0.1688311688,8.467532468,21,39,231,1.640692641,2,5.58008658
Netclan20241113,6,4,0.19999998,0.0277777777,22.5,0.1222222222,9.048888889,22.5,44,360,1.541666667,1,5.194444444
Netclan20241114,3,1,0.499999875,0.01746724883,20.81818182,0.1965065502,8.405875347,20.81818182,45,229,1.716157205,3,5.733624454
Netclan20241115,8,1,0.7777776914,0.01874999996,30,0.2166666667,12.08666667,30,104,480,1.758333333,5,5.752083333
Netclan20241116,2,0,0.9999995,0.00843881853,13.94117647,0.1898734177,5.652419955,13.94117647,45,237,1.683544304,8,5.628691983
Netclan20241117,6,3,0.3333332963,0.0269461077,17.57894737,0.1586826347,7.095052001,17.57894737,53,334,1.488023952,8,5.089820359
Netclan20241118,1,2,-0.3333332222,0.01158301154,21.58333333,0.1583011583,8.696653797,21.58333333,41,259,1.644787645,6,5.625482625
Netclan20241119,6,6,0,0.0287081339,20.9,0.2081339713,8.443253589,20.9,87,418,1.753588517,10,5.631578947
Netclan20241120,1,0,0.999999,0.09090908264,5.5,0.2727272727,2.309090909,5.5,3,11,1.909090909,0,5.909090909
Netclan20241121,50,5,0.8181818033,0.06242905782,17.97959184,0.1657207719,7.258125043,17.97959184,146,881,1.580022701,4,5.364358683
Netclan20241122,15,0,0.9999999333,0.02636203862,17.78125,0.09841827768,7.151867311,17.78125,56,569,1.428822496,21,4.810193322
Netclan20241123,2,0,0.9999995,0.007117437697,17.5625,0.2028469751,7.10613879,17.5625,57,281,1.661921708,0,5.537366548
Netclan20241124,7,0,0.9999998571,0.02928870281,39.83333333,0.1924686192,16.01032078,39.83333333,46,239,1.782426778,0,5.665271967
Netclan20241125,11,4,0.4666666356,0.04777070048,15.7,0.1337579618,6.333503185,15.7,42,314,1.503184713,8,5.152866242
Netclan20241126,9,4,0.384615355,0.02653061219,30.625,0.1448979592,12.30795918,30.625,71,490,1.555102041,5,5.220408163
Netclan20241127,9,0,0.9999998889,0.01754385961,30.17647059,0.1384015595,12.12594886,30.17647059,71,513,1.475633528,8,5.064327485
